stop_id,stop_name,city,route_type,routes_serviced,flood_risk_category,access_to_hospital_category,job_access_category,worker_vulnerability_category,latitude,longitude
552077,RIKERS ISLAND RDY/RIKERS ISLAND,nyc,Bus,['Q100'],0,0,0,1,40.787425,-73.884459
982174,RIKERS ISLAND RDY/RIKERS ISLAND,nyc,Bus,['Q100'],0,0,0,1,40.787421,-73.884394
550867,20 AV/31 ST,nyc,Bus,['Q100'],2,0,1,0,40.779997,-73.906446
553228,21 ST/21 AV,nyc,Bus,['Q100'],1,0,0,0,40.782374,-73.914396
553191,20 AV/31 ST,nyc,Bus,['Q100'],0,0,1,0,40.779486,-73.906109
550636,ASTORIA BL/98 ST,nyc,Bus,"['Q19', 'Q49']",0,0,1,1,40.762129,-73.871145
550638,ASTORIA BL/100 ST,nyc,Bus,"['Q19', 'Q49']",0,0,1,1,40.761783,-73.869157
550613,ASTORIA BL/37 ST,nyc,Bus,['Q19'],1,1,1,1,40.769827,-73.912195
503960,ASTORIA BL/33 ST,nyc,Bus,['Q19'],1,1,2,1,40.77034,-73.915541
505294,HOYT AV/29 ST,nyc,Bus,['Q19'],1,1,1,1,40.771504,-73.918096
550612,ASTORIA BL/37 ST,nyc,Bus,['Q19'],0,1,2,1,40.769061,-73.912781
550601,30 AV/36 ST,nyc,Bus,['Q18'],0,2,2,1,40.765168,-73.917456
552051,STEINWAY ST/28 AV,nyc,Bus,['Q101'],0,1,2,1,40.765422,-73.913891
503871,ASTORIA BL/STEINWAY ST,nyc,Bus,['Q19'],0,1,1,1,40.768747,-73.910507
550615,ASTORIA BL/42 ST,nyc,Bus,['Q19'],0,0,1,1,40.768503,-73.909247
505190,ASTORIA BL/44 ST,nyc,Bus,['Q19'],0,0,1,1,40.768179,-73.907333
504418,ASTORIA BL/49 ST,nyc,Bus,['Q19'],0,0,1,1,40.767425,-73.902214
552052,STEINWAY ST/25 AV,nyc,Bus,['Q101'],0,1,1,1,40.768098,-73.911492
503872,ASTORIA BL/73 ST PED OVERPASS,nyc,Bus,['Q19'],2,0,1,1,40.766398,-73.896272
550579,69 ST/GRAND AV,nyc,Bus,['Q18'],1,0,1,0,40.726498,-73.895315
550580,69 ST/55 AV,nyc,Bus,['Q18'],1,0,1,0,40.727943,-73.895366
982162,69 ST/GRAND AV,nyc,Bus,['Q18'],1,0,1,0,40.726377,-73.895265
550570,53 AV/68 ST,nyc,Bus,['Q18'],0,0,1,0,40.731361,-73.897398
550565,69 ST/MAURICE AV,nyc,Bus,['Q18'],0,0,1,1,40.734933,-73.896092
